image,x1,y1,x2,y2,label
JPEGImages/000001.jpg,48,240,195,371,dog
JPEGImages/000001.jpg,8,12,352,498,person
JPEGImages/000002.jpg,139,200,207,301,train
JPEGImages/000003.jpg,123,155,215,195,sofa
JPEGImages/000003.jpg,239,156,307,205,chair
JPEGImages/000004.jpg,13,311,84,362,car
JPEGImages/000004.jpg,362,330,500,389,car
JPEGImages/000004.jpg,235,328,334,375,car
JPEGImages/000004.jpg,175,327,252,364,car
JPEGImages/000004.jpg,139,320,189,359,car
JPEGImages/000004.jpg,108,325,150,353,car
JPEGImages/000004.jpg,84,323,121,350,car
JPEGImages/000005.jpg,263,211,324,339,chair
JPEGImages/000005.jpg,165,264,253,372,chair
JPEGImages/000005.jpg,5,244,67,374,chair
JPEGImages/000005.jpg,241,194,295,299,chair
JPEGImages/000005.jpg,277,186,312,220,chair
JPEGImages/000006.jpg,187,135,282,242,pottedplant
JPEGImages/000006.jpg,154,209,369,375,diningtable
JPEGImages/000006.jpg,255,207,366,375,chair
JPEGImages/000006.jpg,298,195,332,247,chair
JPEGImages/000006.jpg,279,190,308,231,chair
JPEGImages/000006.jpg,137,192,151,199,chair
JPEGImages/000006.jpg,137,198,156,212,chair
JPEGImages/000006.jpg,138,211,249,375,chair
JPEGImages/000007.jpg,141,50,500,330,car
JPEGImages/000008.jpg,192,16,364,249,chair
JPEGImages/000009.jpg,69,172,270,330,horse
JPEGImages/000009.jpg,150,141,229,284,person
JPEGImages/000009.jpg,285,201,327,331,person
JPEGImages/000009.jpg,258,198,297,329,person
JPEGImages/000010.jpg,87,97,258,427,horse
JPEGImages/000010.jpg,133,72,245,284,person
JPEGImages/000011.jpg,126,51,330,308,cat
JPEGImages/000012.jpg,156,97,351,270,car
JPEGImages/000013.jpg,299,160,446,252,cow
JPEGImages/000014.jpg,72,163,302,228,bus
JPEGImages/000014.jpg,185,194,500,316,car
JPEGImages/000014.jpg,416,180,500,222,car
JPEGImages/000014.jpg,314,8,344,65,person
JPEGImages/000014.jpg,331,4,361,61,person
JPEGImages/000014.jpg,357,8,401,61,person
JPEGImages/000014.jpg,163,197,267,244,car
