               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049852,            0.094375,            0.051555,             0.75415,             0.16156,             0.19422,             0.11241,                 nan,                 nan,                 nan,            0.070234,           0.0033073,           0.0033073
                   1,            0.045235,            0.083499,             0.04427,             0.70396,             0.15501,              0.1759,             0.10599,                 nan,                 nan,                 nan,            0.040169,           0.0065749,           0.0065749
                   2,            0.046466,             0.08122,            0.040526,             0.71972,             0.15641,              0.1696,            0.099047,                 nan,                 nan,                 nan,            0.010037,           0.0097765,           0.0097765
                   3,            0.048164,             0.08209,             0.04398,             0.74396,             0.16497,              0.1746,            0.098652,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   4,            0.048619,            0.072556,            0.041305,             0.77137,             0.15907,             0.17557,            0.095377,                 nan,                 nan,                 nan,            0.009703,            0.009703,            0.009703
                   5,            0.049081,            0.079354,            0.040972,             0.79263,              0.1619,             0.18645,             0.10272,                 nan,                 nan,                 nan,            0.009604,            0.009604,            0.009604
                   6,            0.048856,            0.079174,            0.040536,             0.77261,             0.16354,             0.18065,             0.10208,                 nan,                 nan,                 nan,            0.009505,            0.009505,            0.009505
                   7,            0.047485,            0.080658,            0.037728,             0.74435,              0.1704,             0.18191,            0.092401,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   8,            0.049627,            0.075792,            0.038622,             0.75281,             0.16795,             0.19827,             0.10932,                 nan,                 nan,                 nan,            0.009307,            0.009307,            0.009307
                   9,            0.046565,            0.078657,            0.036246,             0.75649,             0.17042,             0.19529,             0.10272,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                  10,              0.0469,            0.079907,            0.037505,             0.71457,             0.17241,             0.18188,            0.098964,                 nan,                 nan,                 nan,            0.009109,            0.009109,            0.009109
                  11,            0.045393,            0.070606,            0.036913,             0.72429,             0.17353,             0.19008,             0.10593,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                  12,            0.046288,            0.075987,            0.032755,              0.7153,             0.18114,             0.19128,             0.10795,                 nan,                 nan,                 nan,            0.008911,            0.008911,            0.008911
                  13,            0.044902,            0.070923,             0.03315,             0.78096,             0.16781,             0.19366,              0.1091,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                  14,            0.045614,            0.066764,            0.032541,             0.79302,             0.16375,             0.18821,             0.10489,                 nan,                 nan,                 nan,            0.008713,            0.008713,            0.008713
                  15,            0.044088,            0.066173,            0.030515,             0.80711,             0.16399,             0.19104,             0.10804,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                  16,            0.046112,            0.075057,            0.029233,             0.78605,             0.16148,             0.18279,              0.1032,                 nan,                 nan,                 nan,            0.008515,            0.008515,            0.008515
                  17,            0.044805,            0.070665,            0.030128,             0.73348,             0.17738,             0.19283,             0.10063,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  18,            0.044472,            0.065887,            0.030209,             0.75058,             0.18301,             0.19409,             0.10594,                 nan,                 nan,                 nan,            0.008317,            0.008317,            0.008317
                  19,            0.044301,            0.066843,            0.028944,             0.75014,             0.17973,             0.19797,             0.10406,                 nan,                 nan,                 nan,            0.008218,            0.008218,            0.008218
                  20,            0.045056,            0.071699,            0.029728,             0.76935,             0.17482,             0.20364,             0.10525,                 nan,                 nan,                 nan,            0.008119,            0.008119,            0.008119
                  21,             0.04568,            0.065585,            0.029141,             0.78102,             0.17224,             0.19449,              0.1004,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  22,            0.044575,            0.068119,            0.028463,             0.65955,             0.20079,             0.20185,             0.10532,                 nan,                 nan,                 nan,            0.007921,            0.007921,            0.007921
                  23,            0.043273,             0.06667,            0.027657,             0.78314,             0.16023,             0.19833,             0.10422,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  24,            0.043507,            0.060601,            0.030857,             0.81311,             0.15976,             0.20507,             0.10931,                 nan,                 nan,                 nan,            0.007723,            0.007723,            0.007723
                  25,             0.04176,            0.060173,            0.025191,             0.79448,             0.15536,             0.20036,             0.10986,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                  26,            0.044548,            0.066919,            0.028686,              0.7765,             0.17534,             0.19714,             0.10522,                 nan,                 nan,                 nan,            0.007525,            0.007525,            0.007525
                  27,            0.042368,            0.056385,            0.023893,             0.77995,             0.17764,             0.21031,             0.11304,                 nan,                 nan,                 nan,            0.007426,            0.007426,            0.007426
                  28,            0.041279,            0.056612,            0.025961,              0.8011,             0.17473,               0.213,             0.10859,                 nan,                 nan,                 nan,            0.007327,            0.007327,            0.007327
